WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
3899,ALFORD LAKE,,-115.092202,52.063523,SW4-36-8-W5,2016-05-10,RAINBOW TROUT,3000,MOUNT LASSEN,3N,17.34
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2016-04-06,BROWN TROUT,70,BOW RIVER,2N,65.42
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2016-04-12,RAINBOW TROUT,23000,MOUNT LASSEN,3N,17.04
4014,BEAVER LAKE,,-114.788387,52.006721,NE16-35-6-W5,2016-04-26,RAINBOW TROUT,3500,TROUT LODGE/SILVER'S,AF3N,21.53
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,2016-04-14,RAINBOW TROUT,23000,TROUT LODGE/KAMLOOPS,AF3N,17.13
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2016-05-17,BROOK TROUT,5000,BEITTY RESORT,3N,22.87
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2016-04-27,RAINBOW TROUT,3500,TROUT LODGE/SILVER'S,AF3N,23.05
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2016-05-17,BROWN TROUT,500,BOW RIVER,3N,19.57
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2016-04-19,RAINBOW TROUT,135000,LYNDON,AF2N,9.52
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2016-04-20,BROWN TROUT,7500,BOW RIVER,3N,19.23
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2016-04-11,BROOK TROUT,7500,BEITTY RESORT,3N,21.46
6890,BONNYVILLE TOWN POND,SLAWUTA LAKE,-110.745372,54.265723,NW7-61-5-W4,2016-05-13,RAINBOW TROUT,500,PRIVATE ALBERTA FACILITY,3N,20.9
4208,CAPTAIN EYRE LAKE,CAPT AYRE,-110.714832,52.29945,NW30-38-5-W4,2016-04-29,RAINBOW TROUT,4000,LYNDON,AF2N,27.7
4208,CAPTAIN EYRE LAKE,CAPT AYRE,-110.714832,52.29945,NW30-38-5-W4,2016-04-29,RAINBOW TROUT,1000,CAMPBELL LAKE,2N,20.04
4231,CAVAN LAKE,,-110.407082,49.935915,SW30-11-3-W4,2016-04-12,RAINBOW TROUT,15000,MOUNT LASSEN,2N,16.74
6528,CHAIN LAKES,LOWER CHAIN LAKE,-113.511311,54.964036,NW7-69-23-W4,2016-05-13,RAINBOW TROUT,3154,LYNDON,AF2N,24.21
6528,CHAIN LAKES,LOWER CHAIN LAKE,-113.511311,54.964036,NW7-69-23-W4,2016-05-11,RAINBOW TROUT,4846,LYNDON,AF2N,30.1
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,2016-05-03,RAINBOW TROUT,14000,TROUT LODGE/KAMLOOPS,AF3N,16.98
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,2016-04-04,RAINBOW TROUT,36001,TROUT LODGE/KAMLOOPS,AF3N,17.1
6608,CHAMPION LAKES,LOWER CHAMPION LAKE,-114.597433,50.813258,NW26-21-5-W5,2016-06-14,RAINBOW TROUT,300,TROUT LODGE/SILVER'S,AF3N,23.8
6607,CHAMPION LAKES,UPPER CHAMPION LAKE,-114.599941,50.815306,NW26-21-5-W5,2016-06-14,RAINBOW TROUT,300,TROUT LODGE/SILVER'S,AF3N,23.8
4261,CHICKAKOO LAKE,CHICKAKO LAKE,-114.074339,53.618628,SW34-53-1-W5,2016-05-06,RAINBOW TROUT,12000,CAMPBELL LAKE,2N,21.61
6860,CHRYSTINA LAKE,,-115.194645,54.786102,NW8-67-8-W5,2016-05-27,BROOK TROUT,2100,BEITTY RESORT,3N,22.44
6082,CLAUDE N. BRENNAN MEMORIAL POND,VERMILION PARK POND,-110.884936,53.364531,NE36-50-7-W4,2016-05-03,RAINBOW TROUT,800,TROUT LODGE/SILVER'S,AF3N,30.22
6082,CLAUDE N. BRENNAN MEMORIAL POND,VERMILION PARK POND,-110.884936,53.364531,NE36-50-7-W4,2016-05-03,RAINBOW TROUT,1200,TROUT LODGE/SILVER'S,AF3N,21.98
4374,CROWSNEST LAKE,,-114.637963,49.634111,NE8-8-5-W5,2016-04-13,RAINBOW TROUT,12854,MOUNT LASSEN,3N,15.96
4374,CROWSNEST LAKE,,-114.637963,49.634111,NE8-8-5-W5,2016-04-13,RAINBOW TROUT,2146,MOUNT LASSEN,3N,18.06
4446,DILLBERRY LAKE,,-110.004391,52.576348,,2016-05-02,RAINBOW TROUT,20000,CAMPBELL LAKE,2N,18.96
4458,DOLBERG LAKE,,-115.053191,54.157685,SE1-60-8-W5,2016-05-09,RAINBOW TROUT,18000,TROUT LODGE/KAMLOOPS,AF3N,15.98
4488,DUNN LAKE,,-117.685762,53.654925,NW7-54-25-W5,2016-05-30,BROOK TROUT,3000,BEITTY RESORT,3N,21.25
4460,EAST DOLLAR LAKE,,-117.204628,55.314926,NW8-73-21-W5,2016-05-24,RAINBOW TROUT,3000,LYNDON,AF2N,26.48
4460,EAST DOLLAR LAKE,,-117.204628,55.314926,NW8-73-21-W5,2016-05-24,BROWN TROUT,500,BOW RIVER,3N,21.53
4460,EAST DOLLAR LAKE,,-117.204628,55.314926,NW8-73-21-W5,2016-05-24,RAINBOW TROUT,300,CAMPBELL LAKE,2N,20.27
6044,EAST TWIN LAKE,,-117.533333,57.45,SW29-97-22-W5,2016-05-25,RAINBOW TROUT,4200,CAMPBELL LAKE,2N,21.09
4505,EDITH LAKE,,-115.382263,54.801854,NE13-67-10-W5,2016-05-27,BROOK TROUT,2100,BEITTY RESORT,3N,22.44
6821,EMERALD LAKE,,-115.61828,54.333426,SW5-62-11-W5,2016-06-01,BROOK TROUT,2600,BEITTY RESORT,3N,22.8
6822,EMERSON LAKE,,-113.85125,50.576929,SW5-19-28-W4,2016-05-08,RAINBOW TROUT,1250,LYNDON,AF2N,28.89
6822,EMERSON LAKE,,-113.85125,50.576929,SW5-19-28-W4,2016-05-08,RAINBOW TROUT,1250,TROUT LODGE/SILVER'S,AF3N,28.89
6822,EMERSON LAKE,,-113.85125,50.576929,SW5-19-28-W4,2016-05-08,BROWN TROUT,900,BOW RIVER,3N,21.53
4535,EMERSON LAKES,,-117.117962,53.726034,NW6-55-21-W5,2016-05-17,RAINBOW TROUT,2701,MOUNT LASSEN,3N,17.63
4539,ENGSTROM LAKE,,-110.906389,56.188889,NW17-83-6-W4,2016-06-04,RAINBOW TROUT,25000,MOUNT LASSEN,3N,15.22
4562,FAIRFAX LAKE,,-116.576532,52.971131,NW17-46-18-W5,2016-05-16,RAINBOW TROUT,10000,TROUT LODGE/KAMLOOPS,AF3N,15.65
3505,FYTEN RESERVOIR,,-113.331867,51.546348,NW4-30-24-W4,2016-04-11,RAINBOW TROUT,10000,MOUNT LASSEN,2N,16.52
4697,GOLDEYE LAKE,,-116.192114,52.449584,NE14-40-16-W5,2016-05-11,RAINBOW TROUT,10000,BEITTY/BEAVER LAKE,3N,9.94
4725,GRANDE CACHE LAKE,,-119.05,53.9,NE1-57-8-W6,2016-05-19,RAINBOW TROUT,40034,BEITTY RESORT,3N,9.53
3476,GROTTO MOUNTAIN POND,,-115.202402,51.065761,NW21-24-9-W5,2016-05-30,RAINBOW TROUT,800,TROUT LODGE/SILVER'S,AF3N,23
3476,GROTTO MOUNTAIN POND,,-115.202402,51.065761,NW21-24-9-W5,2016-04-25,RAINBOW TROUT,800,TROUT LODGE/SILVER'S,AF3N,21.29
26431,HIGH LEVEL COMMUNITY PARK POND,HIGH LEVEL TOWN POND,-117.163713,58.517177,SE6-110-19-W5,2016-05-25,RAINBOW TROUT,500,CAMPBELL LAKE,2N,21.09
6917,HINTON F & G POND,HINTON BORROW PIT,-117.605197,53.341065,SW28-50-25-W5,2016-05-12,RAINBOW TROUT,300,MOUNT LASSEN,3N,16.75
6669,HORSESHOE LAKE,,-113.783183,54.489439,SW31-63-25-W4,2016-05-23,BROOK TROUT,15000,BEITTY RESORT,3N,6.7
6786,IRONSIDE POND,,-114.996541,52.246795,SW7-38-7-W5,2016-05-09,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,22.05
4909,ISLAND LAKE,,-114.684444,49.627778,NW12-8-6-W5,2016-04-12,RAINBOW TROUT,1900,BEITTY/BEAVER LAKE,3N,23.57
4920,JACK FISH LAKE,,-111.296351,53.594311,NW20-53-9-W4,2016-04-29,RAINBOW TROUT,5000,CAMPBELL LAKE,2N,18.92
854,JARVIS CREEK,,-117.709012,53.63381,SW1-54-26-W5,2016-05-12,RAINBOW TROUT,700,MOUNT LASSEN,3N,16.75
4965,KAKUT LAKE,,-118.533333,55.625,SW34-76-4-W6,2016-06-07,RAINBOW TROUT,1500,CAMPBELL LAKE,2N,21.27
5002,KINKY LAKE,,-117.783145,53.280836,SE6-50-26-W5,2016-05-28,BROOK TROUT,7000,BEITTY RESORT,3N,23.05
4426,LAC DELORME,GEORGE'S LAKE,-111.1509,53.896214,SE5-57-8-W4,2016-05-11,RAINBOW TROUT,2000,CAMPBELL LAKE,2N,20.3
4426,LAC DELORME,GEORGE'S LAKE,-111.1509,53.896214,SE5-57-8-W4,2016-05-06,RAINBOW TROUT,2000,CAMPBELL LAKE,2N,20.3
19760,LAC LA BICHE TROUT POND,ALEXANDER HAMILTON POND,-111.953265,54.775532,NW5-67-13-W4,2016-05-10,RAINBOW TROUT,600,MOUNT LASSEN,2N,30.22
3479,LAMBERT POND,,-116.481493,53.566383,NW8-53-17-W5,2016-05-17,RAINBOW TROUT,2401,MOUNT LASSEN,3N,17.63
5050,LEES LAKE,,-114.248586,49.541912,SW8-7-2-W5,2016-04-07,RAINBOW TROUT,7000,BEITTY RESORT,3N,10.28
5050,LEES LAKE,,-114.248586,49.541912,SW8-7-2-W5,2016-04-07,RAINBOW TROUT,9158,TROUT LODGE/KAMLOOPS,AF3N,17.64
5050,LEES LAKE,,-114.248586,49.541912,SW8-7-2-W5,2016-03-21,CUTTHROAT TROUT,6500,JOB LAKE,3N,11.97
5050,LEES LAKE,,-114.248586,49.541912,SW8-7-2-W5,2016-04-07,RAINBOW TROUT,28842,TROUT LODGE/KAMLOOPS,AF3N,16.14
5093,LITTLE BEAR LAKE,HASSE LAKE,-110.300937,54.551596,NW19-64-2-W4,2016-06-06,RAINBOW TROUT,388,LYNDON,AF2N,26.8
5093,LITTLE BEAR LAKE,HASSE LAKE,-110.300937,54.551596,NW19-64-2-W4,2016-05-04,RAINBOW TROUT,4784,CAMPBELL LAKE,2N,18.09
5093,LITTLE BEAR LAKE,HASSE LAKE,-110.300937,54.551596,NW19-64-2-W4,2016-05-04,RAINBOW TROUT,10000,CAMPBELL LAKE,2N,19.9
5093,LITTLE BEAR LAKE,HASSE LAKE,-110.300937,54.551596,NW19-64-2-W4,2016-06-06,RAINBOW TROUT,6448,CAMPBELL LAKE,2N,21.41
5223,MARGARET LAKE,,-115.185439,51.401845,NW15-28-9-W5,2016-06-14,RAINBOW TROUT,3067,BEITTY RESORT,3N,11.6
5245,MARY GREGG LAKE,,-117.454064,53.112602,NW4-48-24-W5,2016-05-12,RAINBOW TROUT,3000,TROUT LODGE/KAMLOOPS,AF3N,17.69
3522,MCLEAN POND,,-114.669068,50.888074,NW20-22-5-W5,2016-04-26,RAINBOW TROUT,3600,TROUT LODGE/SILVER'S,AF3N,21.11
5286,MCLEOD LAKE,CARSON LAKE,-115.652786,54.298603,SE25-61-12-W5,2016-05-10,RAINBOW TROUT,30000,MOUNT LASSEN,3N,13.26
5286,MCLEOD LAKE,CARSON LAKE,-115.652786,54.298603,SE25-61-12-W5,2016-05-17,RAINBOW TROUT,99860,MOUNT LASSEN,3N,14.11
2129,MEDLEY RIVER,,-110.186494,54.604201,SE11-65-2-W4,2016-05-14,RAINBOW TROUT,1500,TROUT LODGE/KAMLOOPS,AF3N,16.89
3523,MICHEL RESERVOIR,MICHELLE RESERVOIR,-110.372274,49.531283,NE5-7-3-W4,2016-05-03,RAINBOW TROUT,50170,BEITTY RESORT,2N,11.01
3524,MICHICHI RESERVOIR,,-112.52946,51.582647,SW19-30-18-W4,2016-05-02,RAINBOW TROUT,14000,BEITTY RESORT,2N,11.01
5324,MILLERS LAKE,,-116.768896,53.560075,SW8-53-19-W5,2016-05-16,RAINBOW TROUT,12000,TROUT LODGE/KAMLOOPS,AF3N,15.5
5348,MITCHELL LAKE,,-115.007692,52.216312,NE25-37-8-W5,2016-05-30,BROWN TROUT,500,BOW RIVER,3N,23.04
5348,MITCHELL LAKE,,-115.007692,52.216312,NE25-37-8-W5,2016-04-22,RAINBOW TROUT,4000,MOUNT LASSEN,3N,14
6623,MITCHELL POND,WASKASOO PARK POND,-113.853351,52.269458,NW18-38-27-W4,2016-04-29,RAINBOW TROUT,1000,PRIVATE ALBERTA FACILITY,3N,20.6
6684,MONTAGANEUSSE LAKE,STONEY LAKE,-118.461339,56.504886,NE31-86-3-W6,2016-06-01,BROOK TROUT,6000,BEITTY RESORT,3N,21.54
5360,MOONSHINE LAKE,MIRAGE LAKE,-119.227778,55.886111,SE31-79-8-W6,2016-05-31,BROWN TROUT,1000,BOW RIVER,3N,23.12
5360,MOONSHINE LAKE,MIRAGE LAKE,-119.227778,55.886111,SE31-79-8-W6,2016-05-31,RAINBOW TROUT,10500,TROUT LODGE/KAMLOOPS,AF3N,17.63
3482,MOUNT LORETTE PONDS,,-115.107943,50.969566,SW19-23-8-W5,2016-06-01,RAINBOW TROUT,800,TROUT LODGE/SILVER'S,AF3N,22.7
3482,MOUNT LORETTE PONDS,,-115.107943,50.969566,SW19-23-8-W5,2016-04-25,RAINBOW TROUT,800,TROUT LODGE/SILVER'S,AF3N,21.29
5387,MUIR LAKE,,-113.956437,53.624675,NW32-53-27-W4,2016-05-03,BROWN TROUT,500,BOW RIVER,3N,19.47
5387,MUIR LAKE,,-113.956437,53.624675,NW32-53-27-W4,2016-05-03,RAINBOW TROUT,1929,TROUT LODGE/SILVER'S,AF3N,21.98
5387,MUIR LAKE,,-113.956437,53.624675,NW32-53-27-W4,2016-05-03,RAINBOW TROUT,1606,TROUT LODGE/SILVER'S,AF3N,30.22
6735,NIEMELA RESERVOIR,RAY'S POND,-114.292729,52.322935,SE1-39-3-W5,2016-05-09,RAINBOW TROUT,750,LYNDON,AF2N,28.97
6735,NIEMELA RESERVOIR,RAY'S POND,-114.292729,52.322935,SE1-39-3-W5,2016-05-09,RAINBOW TROUT,750,TROUT LODGE/SILVER'S,AF3N,28.97
5466,OBED LAKE,,-117.133333,53.566667,SW11-53-22-W5,2016-05-28,BROWN TROUT,10750,BOW RIVER,3N,21.75
5476,OLE LAKE,,-119.894419,56.316771,NW30-84-12-W6,2016-06-07,RAINBOW TROUT,3000,CAMPBELL LAKE,2N,21.27
5504,OUTPOST LAKE,POLICE LAKE,-113.456699,49.011823,NE6-1-26-W4,2016-04-14,RAINBOW TROUT,5000,TROUT LODGE/KAMLOOPS,AF3N,17.33
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,2016-05-03,RAINBOW TROUT,170000,BEITTY RESORT,3N,11.94
5538,PEANUT LAKE,,-114.352591,54.017399,NE15-58-3-W5,2016-05-12,RAINBOW TROUT,15200,CAMPBELL LAKE,2N,18.49
5555,PEPPERS LAKE,,-115.705653,52.038779,NW30-35-12-W5,2016-05-30,BROOK TROUT,8000,BEITTY RESORT,3N,21.59
5565,PETITE LAKE,,-117.702585,53.655681,NW12-54-26-W5,2016-05-12,RAINBOW TROUT,2000,MOUNT LASSEN,3N,16.75
5569,PHYLLIS LAKE,,-114.966667,52.1,SE17-36-7-W5,2016-04-19,RAINBOW TROUT,10000,MOUNT LASSEN,3N,14
6534,PIERRE GREYS LAKES,LOWER PIERRE GREYS LAKE,-118.60656,53.910427,SE12-57-5-W6,2016-06-09,RAINBOW TROUT,7000,TROUT LODGE/KAMLOOPS,AF3N,17.06
6533,PIERRE GREYS LAKES,MIDDLE PIERRE GREYS LAKE,-118.588692,53.90135,NW6-57-4-W6,2016-06-02,RAINBOW TROUT,15000,TROUT LODGE/KAMLOOPS,AF3N,17.62
5572,PIERRE GREYS LAKES,UPPER PIERRE GREYS LAKES,-118.585692,53.908548,SW7-57-4-W6,2016-05-18,BROOK TROUT,9000,BEITTY RESORT,3N,23.3
6613,RAINBOW PARK POND,WESTLOCK RECREATION POND,-113.727525,54.145706,NE31-59-25-W4,2016-05-06,RAINBOW TROUT,2000,PRIVATE ALBERTA FACILITY,3N,21.5
6702,RAT LAKE,,-115.183801,52.247523,SW11-38-9-W5,2016-05-09,BROOK TROUT,2500,BEITTY RESORT,3N,6.23
5661,REESOR LAKE,,-110.106922,49.66537,NW20-8-1-W4,2016-04-22,RAINBOW TROUT,30000,CAMPBELL LAKE,2N,20.05
3485,ROCKY CHILDREN'S POND,,-114.949741,52.398682,SW33-39-7-W5,2016-04-20,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,21
5714,RUNNING LAKE,,-119.0339,56.669178,SW34-88-7-W6,2016-06-07,RAINBOW TROUT,4350,CAMPBELL LAKE,2N,21.27
5729,SALTER'S LAKE,,-114.191032,53.690156,SW26-54-2-W5,2016-05-05,RAINBOW TROUT,7500,LYNDON,AF2N,26.28
6695,SARDINE LAKE,,-114.551159,53.193482,SW5-49-4-W5,2016-04-28,RAINBOW TROUT,2500,CAMPBELL LAKE,2N,20.27
5753,SAUER LAKE,,-114.078152,53.612875,NE28-53-1-W5,2016-05-07,RAINBOW TROUT,6000,CAMPBELL LAKE,2N,20.3
5766,SCHUMAN LAKE,,-115.077728,54.318086,SE35-61-8-W5,2016-05-24,RAINBOW TROUT,9780,LYNDON,AF2N,15.81
5804,SHUNDA LAKE,FISH LAKE,-116.149976,52.451617,SW19-40-15-W5,2016-05-06,RAINBOW TROUT,18515,MOUNT LASSEN,3N,17.16
5804,SHUNDA LAKE,FISH LAKE,-116.149976,52.451617,SW19-40-15-W5,2016-05-04,RAINBOW TROUT,5106,MOUNT LASSEN,3N,14.09
3486,SIBBALD MEADOWS POND,,-114.944741,51.05457,SW20-24-7-W5,2016-06-03,RAINBOW TROUT,2000,TROUT LODGE/SILVER'S,AF3N,22.5
3486,SIBBALD MEADOWS POND,,-114.944741,51.05457,SW20-24-7-W5,2016-04-25,RAINBOW TROUT,2000,TROUT LODGE/SILVER'S,AF3N,20.95
5858,SPARROW'S EGG LAKE,,-115.105897,50.673406,NW6-20-8-W5,2016-05-18,RAINBOW TROUT,900,TROUT LODGE/SILVER'S,AF3N,22.43
5874,SPRING LAKE,COTTAGE,-114.138808,53.517861,SW30-52-1-W5,2016-05-07,RAINBOW TROUT,830,LYNDON,AF2N,27.3
5874,SPRING LAKE,COTTAGE,-114.138808,53.517861,SW30-52-1-W5,2016-05-07,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,22.14
5874,SPRING LAKE,COTTAGE,-114.138808,53.517861,SW30-52-1-W5,2016-05-05,RAINBOW TROUT,2800,LYNDON,AF2N,26.28
5874,SPRING LAKE,COTTAGE,-114.138808,53.517861,SW30-52-1-W5,2016-05-05,RAINBOW TROUT,4500,TROUT LODGE/SILVER'S,AF3N,24
5874,SPRING LAKE,COTTAGE,-114.138808,53.517861,SW30-52-1-W5,2016-05-05,RAINBOW TROUT,1367,TROUT LODGE/SILVER'S,AF3N,22.14
3534,SPRUCE COULEE RESERVOIR,,-110.181613,49.673739,SW26-8-2-W4,2016-06-06,BROOK TROUT,6873,BEITTY RESORT,3N,22.67
5895,STAR LAKE,,-114.273086,53.510057,NE19-52-2-W5,2016-05-05,RAINBOW TROUT,8040,CAMPBELL LAKE,2N,21.5
5919,STRUBEL LAKE,,-115.001395,52.203976,SW30-37-7-W5,2016-05-09,RAINBOW TROUT,17200,BEITTY/BEAVER LAKE,3N,9.68
5919,STRUBEL LAKE,,-115.001395,52.203976,SW30-37-7-W5,2016-05-04,RAINBOW TROUT,1804,MOUNT LASSEN,3N,14.09
5929,SULPHUR LAKE,,-118.318549,56.706382,NW7-89-2-W6,2016-06-06,BROOK TROUT,4500,BEITTY RESORT,3N,22.06
5944,SWAN LAKE,,-117.813668,55.059122,SW18-70-25-W5,2016-05-26,RAINBOW TROUT,9500,LYNDON,AF2N,27.94
5944,SWAN LAKE,,-117.813668,55.059122,SW18-70-25-W5,2016-05-26,RAINBOW TROUT,5500,TROUT LODGE/KAMLOOPS,AF3N,17.12
5968,TAY LAKE,,-115.11934,52.061406,SW5-36-8-W5,2016-05-10,RAINBOW TROUT,5000,BEITTY/BEAVER LAKE,3N,9.94
6039,TWIN LAKES,,-115.001806,52.413889,SW6-40-7-W5,2016-04-22,RAINBOW TROUT,7000,MOUNT LASSEN,3N,14
6535,TWO LAKES,NORTH TWO LAKE,-119.755438,54.380594,NE20-62-12-W6,2016-05-31,RAINBOW TROUT,7200,TROUT LODGE/KAMLOOPS,AF3N,17.03
6900,UNNAMED,ACADIA VALLEY RESERVOIR,-110.25524,51.099316,SW5-25-2-W4,2016-04-27,RAINBOW TROUT,6100,CAMPBELL LAKE,2N,20.78
6902,UNNAMED,ALLISON LAKE,-114.604063,49.672284,SW27-8-5-W5,2016-06-08,RAINBOW TROUT,1380,BEITTY/BEAVER LAKE,3N,29.53
6902,UNNAMED,ALLISON LAKE,-114.604063,49.672284,SW27-8-5-W5,2016-06-01,RAINBOW TROUT,530,BEITTY/BEAVER LAKE,3N,27.49
6902,UNNAMED,ALLISON LAKE,-114.604063,49.672284,SW27-8-5-W5,2016-04-26,RAINBOW TROUT,1830,BEITTY/BEAVER LAKE,3N,26.3
17894,UNNAMED,ANDERSON DAM,-112.838356,51.419906,SW25-28-21-W4,2016-05-05,RAINBOW TROUT,2500,PRIVATE ALBERTA FACILITY,3N,20.3
21353,UNNAMED,ARDMORE COMMUNITY POND,-110.479159,54.339952,NW1-62-4-W4,2016-04-28,RAINBOW TROUT,400,MOUNT LASSEN,2N,32.71
