OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
ALFORD LAKE,,SW4-36-8-W5,52.063523,-115.092202,RNTR,Campbell Lake,3N,18,3000,2020-05-18
BEAR POND,,NW36-14-4-W5,50.218457,-114.430019,RNTR,Trout Lodge/Jumpers,AF3N,19.7,750,2020-06-22
BEAUVAIS LAKE,,SW29-5-1-W5,49.411416,-114.105019,RNTR,Trout Lodge/Jumpers,AF3N,16.3,23000,2020-05-11
BEAVER LAKE,,NE16-35-6-W5,52.006721,-114.788387,RNTR,Trout Lodge/Jumpers,AF3N,21.3,2500,2020-05-21
BEAVER LAKE,,NE16-35-6-W5,52.006721,-114.788387,TGTR,Beitty/Bow River,3N,16.9,500,2020-09-02
BEAVER LAKE,,NE16-35-6-W5,52.006721,-114.788387,TGTR,Beitty/Bow River,3N,20,500,2020-09-02
BEAVER MINES LAKE,,NE11-5-3-W5,49.372895,-114.296284,RNTR,Trout Lodge/Jumpers,AF3N,15.1,23000,2020-05-13
BIRCH LAKE,,SE18-35-6-W5,52.011667,-114.854167,BNTR,Bow River,3N,18,500,2020-06-04
BIRCH LAKE,,SE18-35-6-W5,52.011667,-114.854167,BKTR,Beitty Resort,3N,17.8,4400,2020-06-19
BIRCH LAKE,,SE18-35-6-W5,52.011667,-114.854167,RNTR,Trout Lodge/Jumpers,AF3N,20.2,3500,2020-06-25
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Trout Lodge/Kamloops,AF3N,11.5,4000,2020-05-04
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Trout Lodge/Jumpers,AF3N,14.7,2836,2020-05-04
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,BNTR,Bow River,3N,19.3,7500,2020-05-04
