WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,GENOTYPE,AVG. LENGTH
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/3/2012,BKTR,77,Diploid,40
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/3/2012,BKTR,100,Diploid,40
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/3/2012,BKTR,50,Diploid,40
6873,UNNAMED,BROOKS AQUADUCT POND,-111.843722,50.524756,NE15-18-14-W4,4/4/2012,RNTR,14324,Diploid,17
6873,UNNAMED,BROOKS AQUADUCT POND,-111.843722,50.524756,NE15-18-14-W4,4/4/2012,RNTR,15176,Diploid,17
3510,HENINGERS RESERVOIR,,-111.562445,49.207984,SE16-3-12-W4,4/10/2012,RNTR,11000,Diploid,18
6697,UNNAMED,SEVERN CREEK RESERVOIR,-112.955705,51.208304,NW12-26-22-W4,4/10/2012,RNTR,20000,Diploid,13
24278,UNNAMED,NEW DAYTON FISH AND GAME POND,-112.384948,49.434987,NE32-5-18-W4,4/11/2012,RNTR,4000,Diploid,17
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/11/2012,BKTR,131,Diploid,31
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/11/2012,BKTR,500,Diploid,31
6769,UNNAMED,KEENEX COULEE RESERVOIR,-113.199605,49.895155,SW10-11-24-W4,4/11/2012,RNTR,3900,Diploid,17
6769,UNNAMED,KEENEX COULEE RESERVOIR,-113.199605,49.895155,SW10-11-24-W4,4/11/2012,RNTR,100,Diploid,17
22504,UNNAMED,RIVERSTONE POND,-112.70011,49.734363,SW18-9-20-W4,4/11/2012,RNTR,825,Triploid,23
6900,UNNAMED,ACADIA VALLEY RESERVOIR,-110.256659,51.111282,SW8-25-2-W4,4/12/2012,RNTR,6000,Diploid,18
