WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES CODE,SPECIES COMMON NAME,QUANTITY,GENOTYPE,AVG. LEGTH
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,4/17/2015,RNTR,RAINBOW TROUT,33860,AF2N,9.3
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,4/17/2015,RNTR,RAINBOW TROUT,45731,AF2N,9.3
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,4/17/2015,RNTR,RAINBOW TROUT,71455,AF2N,9.3
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,4/8/2015,RNTR,RAINBOW TROUT,15480,3N,16.3
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,4/24/2015,RNTR,RAINBOW TROUT,598,AF3N,18.9
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,4/24/2015,RNTR,RAINBOW TROUT,10557,AF3N,17
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,4/21/2015,RNTR,RAINBOW TROUT,8365,3N,17
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,4/16/2015,RNTR,RAINBOW TROUT,15000,AF3N,14.3
3505,FYTEN RESERVOIR,,-113.331867,51.546348,NW4-30-24-W4,4/27/2015,RNTR,RAINBOW TROUT,10000,2N,11.1
3510,HENINGERS RESERVOIR,,-111.562445,49.207984,SE16-3-12-W4,4/14/2015,RNTR,RAINBOW TROUT,11000,2N,13.4
3523,MICHEL RESERVOIR,MICHELLE RESERVOIR,-110.372274,49.531283,NE5-7-3-W4,4/22/2015,RNTR,RAINBOW TROUT,22686,2N,12.8
3523,MICHEL RESERVOIR,MICHELLE RESERVOIR,-110.372274,49.531283,NE5-7-3-W4,4/22/2015,RNTR,RAINBOW TROUT,27314,2N,13.5
3524,MICHICHI RESERVOIR,,-112.52946,51.582647,SW19-30-18-W4,4/23/2015,RNTR,RAINBOW TROUT,14000,2N,10.7
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,4/20/2015,RNTR,RAINBOW TROUT,14669,3N,16.6
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,4/21/2015,RNTR,RAINBOW TROUT,1331,3N,16.6
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,4/21/2015,RNTR,RAINBOW TROUT,7000,3N,9.4
4208,CAPTAIN EYRE LAKE,CAPT AYRE,-110.714832,52.29945,NW30-38-5-W4,4/28/2015,RNTR,RAINBOW TROUT,5000,3N,21.5
4231,CAVAN LAKE,,-110.407082,49.935915,SW30-11-3-W4,4/20/2015,RNTR,RAINBOW TROUT,17342,2N,12.9
4231,CAVAN LAKE,,-110.407082,49.935915,SW30-11-3-W4,4/20/2015,RNTR,RAINBOW TROUT,22034,2N,13.2
4231,CAVAN LAKE,,-110.407082,49.935915,SW30-11-3-W4,4/14/2015,RNTR,RAINBOW TROUT,10624,2N,12.9
4374,CROWSNEST LAKE,,-114.637963,49.634111,NE8-8-5-W5,4/20/2015,RNTR,RAINBOW TROUT,15000,3N,16.6
4697,GOLDEYE LAKE,,-116.192114,52.449584,NE14-40-16-W5,4/28/2015,RNTR,RAINBOW TROUT,10000,3N,10.1
4909,ISLAND LAKE,,-114.684444,49.627778,SE12-8-6-W5,4/21/2015,RNTR,RAINBOW TROUT,1900,3N,26
4920,JACK FISH LAKE,,-111.296351,53.594311,NW20-53-9-W4,4/28/2015,RNTR,RAINBOW TROUT,5000,2N,13.3
5050,LEES LAKE,,-114.248586,49.541912,SW8-7-2-W5,4/1/2015,CTTR,CUTTHROAT TROUT,22,2N,51
5050,LEES LAKE,,-114.248586,49.541912,SW8-7-2-W5,4/9/2015,RNTR,RAINBOW TROUT,14923,3N,16.5
5050,LEES LAKE,,-114.248586,49.541912,SW8-7-2-W5,4/10/2015,RNTR,RAINBOW TROUT,13077,3N,17.2
5286,MCLEOD LAKE,CARSON LAKE,-115.652786,54.298603,SE25-61-12-W5,4/29/2015,RNTR,RAINBOW TROUT,13578,3N,17.7
5286,MCLEOD LAKE,CARSON LAKE,-115.652786,54.298603,SE25-61-12-W5,4/29/2015,RNTR,RAINBOW TROUT,13578,3N,17.7
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/17/2015,RNTR,RAINBOW TROUT,28619,3N,10.6
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/17/2015,RNTR,RAINBOW TROUT,33665,3N,9.3
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/16/2015,RNTR,RAINBOW TROUT,37953,3N,10.6
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/16/2015,RNTR,RAINBOW TROUT,52010,3N,10.9
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/16/2015,RNTR,RAINBOW TROUT,17753,3N,10.9
5919,STRUBEL LAKE,,-115.001395,52.203976,SW30-37-7-W5,4/28/2015,RNTR,RAINBOW TROUT,19000,3N,10.1
6613,UNNAMED,WESTLOCK RECREATION POND,-113.727525,54.145706,NE31-59-25-W4,4/23/2015,RNTR,RAINBOW TROUT,500,3N,26
6614,UNNAMED,BY THE LAKE PARK,-113.408198,52.976846,SW22-46-24-W4,4/29/2015,RNTR,RAINBOW TROUT,5000,3N,21.7
6619,UNNAMED,VEGREVILLE CHILDREN'S POND,-112.00492,53.46143,SW4-52-14-W4,4/27/2015,RNTR,RAINBOW TROUT,1000,3N,21.5
6620,UNNAMED,VEGREVILLE TROUT POND,-112.054068,53.490532,SW18-52-14-W4,4/27/2015,RNTR,RAINBOW TROUT,10000,2N,18.3
6655,UNNAMED,LAMONT POND,-112.749283,53.775627,SW27-55-19-W4,4/28/2015,RNTR,RAINBOW TROUT,2000,3N,21.7
6692,UNNAMED,SPRING COULEE PARK POND,-113.110221,49.370342,SW12-5-24-W4,4/13/2015,RNTR,RAINBOW TROUT,3000,3N,16.3
6697,UNNAMED,SEVERN CREEK RESERVOIR,-112.955705,51.208304,NW12-26-22-W4,4/23/2015,RNTR,RAINBOW TROUT,20000,2N,12.5
6711,UNNAMED,PRO ALTA POND,-110.281204,52.346983,SW18-39-2-W4,4/28/2015,RNTR,RAINBOW TROUT,1000,3N,21.5
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/22/2015,BKTR,BROOK TROUT,390,2N,56
6755,UNNAMED,MCLAREN'S RESERVOIR,-112.45129,51.840076,SW23-33-18-W4,4/23/2015,RNTR,RAINBOW TROUT,12000,2N,12.5
6758,UNNAMED,MCVINNIE RESERVOIR,-112.816406,50.034691,SW33-12-21-W4,4/14/2015,RNTR,RAINBOW TROUT,3000,3N,21.7
6764,UNNAMED,LEDUC RESERVOIR,-113.567083,53.259984,NE27-49-25-W4,4/24/2015,RNTR,RAINBOW TROUT,5000,2N,16.3
6769,UNNAMED,KEENEX COULEE RESERVOIR,-113.199605,49.895155,NW10-11-24-W4,4/13/2015,RNTR,RAINBOW TROUT,4000,2N,14.7
6774,UNNAMED,KRAMER POND,-114.745933,52.906846,SW25-45-6-W5,4/27/2015,RNTR,RAINBOW TROUT,5000,2N,15.6
6780,UNNAMED,HUBER RESERVOIR,-111.732917,52.221611,SW36-37-13-W4,4/28/2015,RNTR,RAINBOW TROUT,6000,2N,15.6
6784,UNNAMED,INNISFREE TROUT POND,-111.645826,53.407254,NW13-51-12-W4,4/29/2015,RNTR,RAINBOW TROUT,1600,3N,21.7
6791,UNNAMED,HERMITAGE PARK POND,-113.371337,53.581702,NE18-53-23-W4,5/1/2015,RNTR,RAINBOW TROUT,3500,3N,20.9
6803,UNNAMED,HELMER RESERVOIR,-111.977647,51.656113,NW18-31-14-W4,4/21/2015,RNTR,RAINBOW TROUT,3990,3N,16.6
6803,UNNAMED,HELMER RESERVOIR,-111.977647,51.656113,NW18-31-14-W4,4/21/2015,RNTR,RAINBOW TROUT,1010,3N,14.8
6822,EMERSON LAKE,,-113.85125,50.576929,SW5-19-28-W4,4/16/2015,BNTR,BROWN TROUT,600,3N,20.6
6822,EMERSON LAKE,,-113.85125,50.576929,SW5-19-28-W4,4/15/2015,RNTR,RAINBOW TROUT,2500,3N,22.3
6823,UNNAMED,ENCHANT POND,-112.421643,50.153553,SE8-14-18-W4,4/14/2015,RNTR,RAINBOW TROUT,2000,3N,21.7
6831,UNNAMED,FOREMOST RESERVOIR,-111.456691,49.477485,NW17-6-11-W4,4/14/2015,RNTR,RAINBOW TROUT,2700,3N,21.7
6842,UNNAMED,ECHO DALE REGIONAL PARK POND,-110.780527,50.049958,SE5-13-6-W4,4/13/2015,RNTR,RAINBOW TROUT,2000,3N,20.5
6853,UNNAMED,DEWITT'S POND,-114.121485,51.262527,SE31-26-1-W5,4/16/2015,BNTR,BROWN TROUT,600,3N,20.6
6858,UNNAMED,COLEMAN FISH AND GAME POND,-114.559795,49.655563,SW24-8-5-W5,4/29/2015,RNTR,RAINBOW TROUT,1600,3N,26
6868,UNNAMED,CARDIFF PARK POND,-113.584073,53.763266,SW24-55-25-W4,4/30/2015,RNTR,RAINBOW TROUT,15000,2N,10.9
6871,UNNAMED,PONOKA CENTENNIAL PARK POND,-113.590891,52.693163,NE8-43-25-W4,5/1/2015,RNTR,RAINBOW TROUT,750,3N,20.9
6873,UNNAMED,BROOKS AQUADUCT POND,-111.843722,50.524756,NE15-18-14-W4,4/15/2015,RNTR,RAINBOW TROUT,30000,2N,13.3
6876,UNNAMED,BUD MILLER PARK POND,-110.040698,53.259224,NE26-49-1-W4,4/30/2015,RNTR,RAINBOW TROUT,3000,3N,21.8
6879,UNNAMED,BURMIS LAKE,-114.299609,49.553784,SE14-7-3-W5,4/24/2015,RNTR,RAINBOW TROUT,1000,3N,25
6882,UNNAMED,BOW CITY EAST PONDS,-112.255516,50.430146,SE15-17-17-W4,4/13/2015,RNTR,RAINBOW TROUT,2000,3N,20.5
6893,UNNAMED,BEAUMONT POND,-113.427692,53.345086,SW27-50-24-W4,4/28/2015,RNTR,RAINBOW TROUT,2500,3N,21.7
6900,UNNAMED,ACADIA VALLEY RESERVOIR,-110.243409,51.106828,NE5-25-2-W4,4/30/2015,RNTR,RAINBOW TROUT,6000,3N,13.3
6902,UNNAMED,ALLISON LAKE,-114.604063,49.672284,SW27-8-5-W5,4/21/2015,RNTR,RAINBOW TROUT,1700,3N,26
18019,UNNAMED,WETASKIWIN POND,-113.360009,52.977951,SW24-46-24-W4,5/1/2015,RNTR,RAINBOW TROUT,500,3N,20.9
21353,UNNAMED,ARDMORE COMMUNITY POND,-110.479159,54.339952,NW1-62-4-W4,4/23/2015,RNTR,RAINBOW TROUT,400,2N,20
22504,UNNAMED,RIVERSTONE POND,-112.70011,49.734363,SW18-9-20-W4,4/30/2015,RNTR,RAINBOW TROUT,830,3N,26
22993,UNNAMED,EAST STORMWATER POND,-113.714773,52.474547,NW29-40-26-W4,5/1/2015,RNTR,RAINBOW TROUT,1500,3N,20.9
23721,UNNAMED,CONSORT RESERVOIR,-110.77977,52.004231,SW15-35-6-W4,4/30/2015,RNTR,RAINBOW TROUT,8300,3N,14.8
24053,UNNAMED,LARA FISH POND,-110.615227,54.308179,NE25-61-5-W4,4/22/2015,RNTR,RAINBOW TROUT,400,2N,20
26322,UNNAMED,LEN THOMPSON POND,-113.712706,52.476805,NW29-40-26-W4,5/1/2015,RNTR,RAINBOW TROUT,1499,3N,20.9
26854,WEST RIVERS EDGE POND,,-113.274136,53.683219,NE23-54-23-W4,4/28/2015,RNTR,RAINBOW TROUT,1000,3N,21.7
395196,UNNAMED,MITFORD PONDS,-114.49262,51.19005,SE4-26-4-W5,4/16/2015,BNTR,BROWN TROUT,600,3N,20.6
