WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
3899,ALFORD LAKE,,-115.092202,52.063523,SW4-36-8-W5,2017-05-04,RAINBOW TROUT,3012,BEITTY RESORT,3N,21.5
3909,ALLSTONES LAKE,,-116.418572,52.303119,NW30-38-17-W5,2017-06-21,BROOK TROUT,650,BEITTY RESORT,3N,7.95
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2017-04-19,BROWN TROUT,113,BOW RIVER,2N,45
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2017-04-19,BROWN TROUT,550,BOW RIVER,2N,25
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2017-04-25,RAINBOW TROUT,4000,TROUT LODGE,AF3N,19.9
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2017-04-25,RAINBOW TROUT,9000,TROUT LODGE,AF3N,17.3
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2017-09-18,RAINBOW TROUT,10000,BEITTY RESORT,3N,
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2017-09-06,BROWN TROUT,10000,BOW RIVER,3N,11.07
4014,BEAVER LAKE,,-114.788387,52.006721,NE16-35-6-W5,2017-05-26,RAINBOW TROUT,3500,TROUT LODGE/SILVER'S,AF3N,22.3
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,2017-05-15,RAINBOW TROUT,13000,TROUT LODGE,AF3N,17.32
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,2017-09-18,RAINBOW TROUT,10000,BEITTY RESORT,3N,
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2017-04-21,BROWN TROUT,500,BOW RIVER,3N,19.01
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2017-05-26,RAINBOW TROUT,582,TROUT LODGE/SILVER'S,AF3N,22.3
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2017-05-17,RAINBOW TROUT,2918,TROUT LODGE/SILVER'S,AF3N,18.5
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2017-05-24,BROOK TROUT,5001,BEITTY RESORT,3N,21.72
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-10-16,TIGER TROUT,29608,BEITTY RESORT,3N,
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-04-28,RAINBOW TROUT,132737,LYNDON,AF3N,8.51
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-09-18,RAINBOW TROUT,15558,LYNDON,AF3N,20
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-09-21,BROOK TROUT,14000,BEITTY RESORT,3N,12.3
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-06-07,RAINBOW TROUT,25,MOUNT LASSEN,2N,55
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-09-21,BROWN TROUT,1000,BOW RIVER,3N,24.4
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-09-21,BROWN TROUT,2200,BOW RIVER,3N,10.03
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-09-18,BROOK TROUT,3000,BEITTY RESORT,3N,
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-05-04,BROWN TROUT,7500,BOW RIVER,3N,19.17
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2017-05-03,BROOK TROUT,7500,BEITTY RESORT,3N,19.95
4094,BLUE LAKE,,-116.459444,54.980556,SE13-69-17-W5,2017-10-09,RAINBOW TROUT,13000,TROUT LODGE/JUMPERS,AF3N,
6878,BULLSHEAD RESERVOIR,BULLSHEAD CREEK RESERVOIR,-110.506929,49.677137,NE29-8-4-W4,2017-10-05,RAINBOW TROUT,10000,TROUT LODGE/KAMLOOPS,AF3N,21.04
4171,BUTCHER'S LAKE,,-114.061148,49.303994,NW15-4-1-W5,2017-09-25,BROOK TROUT,3000,BEITTY RESORT,3N,15
4171,BUTCHER'S LAKE,,-114.061148,49.303994,NW15-4-1-W5,2017-10-09,CUTTHROAT TROUT,2000,JOB LAKE,2N,
4208,CAPTAIN EYRE LAKE,CAPT AYRE,-110.714832,52.29945,NW30-38-5-W4,2017-10-02,RAINBOW TROUT,2500,BEITTY RESORT,2N,
4208,CAPTAIN EYRE LAKE,CAPT AYRE,-110.714832,52.29945,NW30-38-5-W4,2017-10-02,RAINBOW TROUT,5000,TROUT LODGE/SILVER'S,AF3N,
4208,CAPTAIN EYRE LAKE,CAPT AYRE,-110.714832,52.29945,NW30-38-5-W4,2017-04-27,RAINBOW TROUT,5000,LYNDON,AF2N,27.2
4231,CAVAN LAKE,,-110.407082,49.935915,SW30-11-3-W4,2017-05-04,RAINBOW TROUT,15000,BEITTY RESORT,2N,11.6
6528,CHAIN LAKES,LOWER CHAIN LAKE,-113.511311,54.964036,NW7-69-23-W4,2017-05-12,RAINBOW TROUT,8000,LYNDON,AF2N,26.46
6528,CHAIN LAKES,LOWER CHAIN LAKE,-113.511311,54.964036,NW7-69-23-W4,2017-09-26,TIGER TROUT,4000,TIGER TROUT -BEBR,3N,23.05
6528,CHAIN LAKES,LOWER CHAIN LAKE,-113.511311,54.964036,NW7-69-23-W4,2017-10-09,RAINBOW TROUT,3200,TROUT LODGE/SILVER'S,AF3N,
6528,CHAIN LAKES,LOWER CHAIN LAKE,-113.511311,54.964036,NW7-69-23-W4,2017-09-30,RAINBOW TROUT,1319,LYNDON,AF2N,31.93
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,2017-09-18,RAINBOW TROUT,31887,TROUT LODGE/SILVER'S,AF3N,17.4
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,2017-04-21,RAINBOW TROUT,31000,TROUT LODGE,AF3N,17.1
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,2017-10-30,RAINBOW TROUT,27991,TROUT LODGE/SILVER'S,AF3N,11.1
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,2017-10-30,RAINBOW TROUT,21178,TROUT LODGE,AF3N,6.1
3499,CHAIN LAKES RESERVOIR,,-114.20802,50.236864,NE4-15-2-W5,2017-05-01,RAINBOW TROUT,19000,TROUT LODGE,AF3N,17.14
