WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,GENOTYPE,AVG. LENGTH
4011,BEAUVAIS LAKE, ,-114.105019,49.411416,SW29-5-1-W5,3/2/2010,BNTR,100,Diploid,59
4011,BEAUVAIS LAKE, ,-114.105019,49.411416,SW29-5-1-W5,3/2/2010,BNTR,56,Diploid,59
4011,BEAUVAIS LAKE, ,-114.105019,49.411416,SW29-5-1-W5,3/3/2010,BNTR,155,Diploid,37
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/13/2010,BKTR,241,Diploid,24
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/13/2010,BKTR,159,Diploid,24
5050,LEES LAKE, ,-114.248586,49.541912,SW8-7-2-W5,4/14/2010,RNTR,19636,Diploid,14
5050,LEES LAKE, ,-114.248586,49.541912,SW8-7-2-W5,4/14/2010,RNTR,25364,Diploid,14
4011,BEAUVAIS LAKE, ,-114.105019,49.411416,SW29-5-1-W5,4/15/2010,RNTR,10011,Diploid,11
4011,BEAUVAIS LAKE, ,-114.105019,49.411416,SW29-5-1-W5,4/15/2010,RNTR,9274,Diploid,11
4011,BEAUVAIS LAKE, ,-114.105019,49.411416,SW29-5-1-W5,4/15/2010,RNTR,12534,Diploid,18
5504,OUTPOST LAKE,POLICE LAKE,-113.456699,49.011823,NE6-1-26-W4,4/19/2010,RNTR,10000,Pressure Treated as Triploid,15
6873,UNNAMED,BROOKS AQUADUCT POND,-111.843722,50.524756,NE15-18-14-W4,4/19/2010,RNTR,24460,Diploid,15
6751,UNNAMED,MAGRATH CHILDREN'S POND,-112.869274,49.407453,SW26-5-22-W4,4/20/2010,RNTR,500,Diploid,20
6873,UNNAMED,BROOKS AQUADUCT POND,-111.843722,50.524756,NE15-18-14-W4,4/20/2010,RNTR,5540,Diploid,15
6757,UNNAMED,MCQUILLAN RESERVOIR,-112.45932,49.64707,SW13-8-19-W4,4/20/2010,RNTR,3650,Diploid,20
6818,UNNAMED,GOLDSPRING PARK POND,-111.995479,49.095497,NE6-2-15-W4,4/20/2010,RNTR,1500,Diploid,20
6810,UNNAMED,GRANUM POND,-113.507613,49.862522,SE31-10-26-W4,4/20/2010,RNTR,450,Diploid,20
6682,UNNAMED,STIRLING CHILDREN'S POND,-112.5376,49.500793,SW29-6-19-W4,4/20/2010,RNTR,700,Diploid,20
6697,UNNAMED,SEVERN CREEK RESERVOIR,-112.955705,51.208304,NW12-26-22-W4,4/20/2010,RNTR,14403,Diploid,14
6697,UNNAMED,SEVERN CREEK RESERVOIR,-112.955705,51.208304,NW12-26-22-W4,4/20/2010,RNTR,5599,Diploid,14
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/21/2010,RNTR,18308,Pressure Treated as Triploid,14
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/21/2010,RNTR,29453,Pressure Treated as Triploid,9
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/21/2010,RNTR,28530,Pressure Treated as Triploid,14
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/21/2010,RNTR,5403,Pressure Treated as Triploid,14
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/21/2010,RNTR,28145,Pressure Treated as Triploid,14
3510,HENINGERS RESERVOIR, ,-111.562445,49.207984,SE16-3-12-W4,4/22/2010,RNTR,11000,Diploid,18
24278,UNNAMED,NEW DAYTON FISH AND GAME POND,-112.384948,49.434987,NE32-5-18-W4,4/22/2010,RNTR,4000,Diploid,18
6769,UNNAMED,KEENEX COULEE RESERVOIR,-113.199605,49.895155,SW10-11-24-W4,4/22/2010,RNTR,4000,Diploid,18
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/22/2010,RNTR,14827,Pressure Treated as Triploid,12
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/22/2010,RNTR,29315,Pressure Treated as Triploid,13
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/22/2010,RNTR,16916,Pressure Treated as Triploid,12
6671,UNNAMED,AIRDRIE POND,-114.019349,51.274481,SW1-27-1-W5,4/22/2010,RNTR,250,Diploid,21
6686,UNNAMED,STRATHMORE CHILDREN'S POND,-113.390752,51.041855,SW14-24-25-W4,4/22/2010,RNTR,2500,Diploid,21
